index,mid,display_name,threshold
0,/m/09x0r,Speech,0.663131595
1,/m/0ytgt,"Child speech, kid speaking",0.233555675
2,/m/01h8n0,Conversation,0.079049014
3,/m/02qldy,"Narration, monologue",0.148160264
4,/m/0261r1,Babbling,0.29551515
5,/m/0brhx,Speech synthesizer,0.114881948
6,/m/07p6fty,Shout,0.123608574
7,/m/07q4ntr,Bellow,0.115662575
8,/m/07rwj3x,Whoop,0.185566455
9,/m/07sr1lc,Yell,0.203322187
10,/t/dd00135,Children shouting,0.14569521
11,/m/03qc9zr,Screaming,0.218166262
12,/m/02rtxlg,Whispering,0.439987093
13,/m/01j3sz,Laughter,0.373072088
14,/t/dd00001,Baby laughter,0.498326451
15,/m/07r660_,Giggle,0.231795475
16,/m/07s04w4,Snicker,0.203020319
17,/m/07sq110,Belly laugh,0.263697952
18,/m/07rgt08,"Chuckle, chortle",0.212297976
19,/m/0463cq4,"Crying, sobbing",0.250249505
20,/t/dd00002,"Baby cry, infant cry",0.366189182
21,/m/07qz6j3,Whimper,0.165533066
22,/m/07qw_06,"Wail, moan",0.117786862
23,/m/07plz5l,Sigh,0.121035784
24,/m/015lz1,Singing,0.334172606
25,/m/0l14jd,Choir,0.310240626
26,/m/01swy6,Yodeling,0.104060158
27,/m/02bk07,Chant,0.23072274
28,/m/01c194,Mantra,0.296109617
29,/t/dd00005,Child singing,0.292762011
30,/t/dd00006,Synthetic singing,0.189190939
31,/m/06bxc,Rapping,0.213257313
32,/m/02fxyj,Humming,0.147413835
33,/m/07s2xch,Groan,0.267993331
34,/m/07r4k75,Grunt,0.183808699
35,/m/01w250,Whistling,0.331246257
36,/m/0lyf6,Breathing,0.078809544
37,/m/07mzm6,Wheeze,0.068359815
38,/m/01d3sd,Snoring,0.115220405
39,/m/07s0dtb,Gasp,0.144594833
40,/m/07pyy8b,Pant,0.068428777
41,/m/07q0yl5,Snort,0.077853985
42,/m/01b_21,Cough,0.324417293
43,/m/0dl9sf8,Throat clearing,0.255496502
44,/m/01hsr_,Sneeze,0.230125844
45,/m/07ppn3j,Sniff,0.079365209
46,/m/06h7j,Run,0.078879051
47,/m/07qv_x_,Shuffle,0.035825808
48,/m/07pbtc8,"Walk, footsteps",0.097542576
49,/m/03cczk,"Chewing, mastication",0.24013032
50,/m/07pdhp0,Biting,0.164163366
51,/m/0939n_,Gargling,0.043829158
52,/m/01g90h,Stomach rumble,0.029107671
53,/m/03q5_w,"Burping, eructation",0.266600043
54,/m/02p3nc,Hiccup,0.144014791
55,/m/02_nn,Fart,0.123087049
56,/m/0k65p,Hands,0.138297305
57,/m/025_jnm,Finger snapping,0.070497356
58,/m/0l15bq,Clapping,0.128759995
59,/m/01jg02,"Heart sounds, heartbeat",0.586156607
60,/m/01jg1z,Heart murmur,0.377441734
61,/m/053hz1,Cheering,0.211448893
62,/m/028ght,Applause,0.139219627
63,/m/07rkbfh,Chatter,0.247834355
64,/m/03qtwd,Crowd,0.304168642
65,/m/07qfr4h,"Hubbub, speech noise, speech babble",0.116272435
66,/t/dd00013,Children playing,0.214131489
67,/m/0jbk,Animal,0.44654569
68,/m/068hy,"Domestic animals, pets",0.502729535
69,/m/0bt9lr,Dog,0.502826989
70,/m/05tny_,Bark,0.29924795
71,/m/07r_k2n,Yip,0.248220921
72,/m/07qf0zm,Howl,0.31447342
73,/m/07rc7d9,Bow-wow,0.371089131
74,/m/0ghcn6,Growling,0.198315382
75,/t/dd00136,Whimper (dog),0.269767046
76,/m/01yrx,Cat,0.661231399
77,/m/02yds9,Purr,0.172264501
78,/m/07qrkrw,Meow,0.447990417
79,/m/07rjwbb,Hiss,0.254105061
80,/m/07r81j2,Caterwaul,0.211083338
81,/m/0ch8v,"Livestock, farm animals, working animals",0.25670734
82,/m/03k3r,Horse,0.277501345
83,/m/07rv9rh,Clip-clop,0.23132506
84,/m/07q5rw0,"Neigh, whinny",0.327387959
85,/m/01xq0k1,"Cattle, bovinae",0.143070012
86,/m/07rpkh9,Moo,0.123658635
87,/m/0239kh,Cowbell,0.067611158
88,/m/068zj,Pig,0.152138457
89,/t/dd00018,Oink,0.110466607
90,/m/03fwl,Goat,0.425498694
91,/m/07q0h5t,Bleat,0.38615489
92,/m/07bgp,Sheep,0.499358416
93,/m/025rv6n,Fowl,0.287642866
94,/m/09b5t,"Chicken, rooster",0.57516247
95,/m/07st89h,Cluck,0.37550348
96,/m/07qn5dc,"Crowing, cock-a-doodle-doo",0.536303699
97,/m/01rd7k,Turkey,0.170065507
98,/m/07svc2k,Gobble,0.143449247
99,/m/09ddx,Duck,0.250974685
100,/m/07qdb04,Quack,0.175435185
101,/m/0dbvp,Goose,0.283875763
102,/m/07qwf61,Honk,0.276641488
103,/m/01280g,Wild animals,0.316515833
104,/m/0cdnk,"Roaring cats (lions, tigers)",0.312159359
105,/m/04cvmfc,Roar,0.382700235
106,/m/015p6,Bird,0.249224812
107,/m/020bb7,"Bird vocalization, bird call, bird song",0.11407949
108,/m/07pggtn,"Chirp, tweet",0.171352997
109,/m/07sx8x_,Squawk,0.022521921
110,/m/0h0rv,"Pigeon, dove",0.525361836
111,/m/07r_25d,Coo,0.258235306
112,/m/04s8yn,Crow,0.172924042
113,/m/07r5c2p,Caw,0.154051647
114,/m/09d5_,Owl,0.277525753
115,/m/07r_80w,Hoot,0.057413232
116,/m/05_wcq,"Bird flight, flapping wings",0.151714608
117,/m/01z5f,"Canidae, dogs, wolves",0.220703542
118,/m/06hps,"Rodents, rats, mice",0.114968784
119,/m/04rmv,Mouse,0.084620617
120,/m/07r4gkf,Patter,0.133851618
121,/m/03vt0,Insect,0.155930132
122,/m/09xqv,Cricket,0.129208148
123,/m/09f96,Mosquito,0.165145859
124,/m/0h2mp,"Fly, housefly",0.081412442
125,/m/07pjwq1,Buzz,0.052863088
126,/m/01h3n,"Bee, wasp, etc.",0.306852907
127,/m/09ld4,Frog,0.485871822
128,/m/07st88b,Croak,0.215655431
129,/m/078jl,Snake,0.111441046
130,/m/07qn4z3,Rattle,0.081631362
131,/m/032n05,Whale vocalization,0.216013104
132,/m/04rlf,Music,0.695782125
133,/m/04szw,Musical instrument,0.664697647
134,/m/0fx80y,Plucked string instrument,0.644903183
135,/m/0342h,Guitar,0.677955449
136,/m/02sgy,Electric guitar,0.265161753
137,/m/018vs,Bass guitar,0.214493647
138,/m/042v_gx,Acoustic guitar,0.332311481
139,/m/06w87,"Steel guitar, slide guitar",0.095357895
140,/m/01glhc,Tapping (guitar technique),0.112518124
141,/m/07s0s5r,Strum,0.30383411
142,/m/018j2,Banjo,0.361035645
143,/m/0jtg0,Sitar,0.366262436
144,/m/04rzd,Mandolin,0.190164849
145,/m/01bns_,Zither,0.219142079
146,/m/07xzm,Ukulele,0.181958601
147,/m/05148p4,Keyboard (musical),0.321676046
148,/m/05r5c,Piano,0.385540247
149,/m/01s0ps,Electric piano,0.325575382
150,/m/013y1f,Organ,0.194115222
151,/m/03xq_f,Electronic organ,0.28050372
152,/m/03gvt,Hammond organ,0.356615514
153,/m/0l14qv,Synthesizer,0.275485277
154,/m/01v1d8,Sampler,0.069920674
155,/m/03q5t,Harpsichord,0.072910741
156,/m/0l14md,Percussion,0.230211183
157,/m/02hnl,Drum kit,0.554444551
158,/m/0cfdd,Drum machine,0.107196212
159,/m/026t6,Drum,0.325900227
160,/m/06rvn,Snare drum,0.455587745
161,/m/03t3fj,Rimshot,0.316852182
162,/m/02k_mr,Drum roll,0.297954619
163,/m/0bm02,Bass drum,0.36236921
164,/m/011k_j,Timpani,0.303963929
165,/m/01p970,Tabla,0.295500129
166,/m/01qbl,Cymbal,0.285343617
167,/m/03qtq,Hi-hat,0.32222259
168,/m/01sm1g,Wood block,0.183640361
169,/m/07brj,Tambourine,0.151852444
170,/m/05r5wn,Rattle (instrument),0.177172914
171,/m/0xzly,Maraca,0.161213964
172,/m/0mbct,Gong,0.17275995
173,/m/016622,Tubular bells,0.121038929
174,/m/0j45pbj,Mallet percussion,0.296782434
175,/m/0dwsp,"Marimba, xylophone",0.357874542
176,/m/0dwtp,Glockenspiel,0.317277491
177,/m/0dwt5,Vibraphone,0.085060105
178,/m/0l156b,Steelpan,0.091474771
179,/m/05pd6,Orchestra,0.274709433
180,/m/01kcd,Brass instrument,0.333184689
181,/m/0319l,French horn,0.428960562
182,/m/07gql,Trumpet,0.424405456
183,/m/07c6l,Trombone,0.472386688
184,/m/0l14_3,Bowed string instrument,0.274520278
185,/m/02qmj0d,String section,0.152847514
186,/m/07y_7,"Violin, fiddle",0.59591496
187,/m/0d8_n,Pizzicato,0.114062063
188,/m/01xqw,Cello,0.304534048
189,/m/02fsn,Double bass,0.173844486
190,/m/085jw,"Wind instrument, woodwind instrument",0.183094144
191,/m/0l14j_,Flute,0.437521011
192,/m/06ncr,Saxophone,0.348937362
193,/m/01wy6,Clarinet,0.114024296
194,/m/03m5k,Harp,0.287115008
195,/m/0395lw,Bell,0.447264761
196,/m/03w41f,Church bell,0.498801082
197,/m/027m70_,Jingle bell,0.481084675
198,/m/0gy1t2s,Bicycle bell,0.237709165
199,/m/07n_g,Tuning fork,0.152658209
200,/m/0f8s22,Chime,0.203257158
201,/m/026fgl,Wind chime,0.142850056
202,/m/0150b9,Change ringing (campanology),0.283088088
203,/m/03qjg,Harmonica,0.203034624
204,/m/0mkg,Accordion,0.338806301
205,/m/0192l,Bagpipes,0.342162341
206,/m/02bxd,Didgeridoo,0.082724355
207,/m/0l14l2,Shofar,0.181253314
208,/m/07kc_,Theremin,0.142299175
209,/m/0l14t7,Singing bowl,0.407767326
210,/m/01hgjl,Scratching (performance technique),0.2001753
211,/m/064t9,Pop music,0.175155237
212,/m/0glt670,Hip hop music,0.226504967
213,/m/02cz_7,Beatboxing,0.135438621
214,/m/06by7,Rock music,0.20140484
215,/m/03lty,Heavy metal,0.207650691
216,/m/05r6t,Punk rock,0.184391364
217,/m/0dls3,Grunge,0.14775604
218,/m/0dl5d,Progressive rock,0.124065042
219,/m/07sbbz2,Rock and roll,0.162180975
220,/m/05w3f,Psychedelic rock,0.18374382
221,/m/06j6l,Rhythm and blues,0.114576831
222,/m/0gywn,Soul music,0.111013003
223,/m/06cqb,Reggae,0.130258381
224,/m/01lyv,Country,0.279570192
225,/m/015y_n,Swing music,0.195873886
226,/m/0gg8l,Bluegrass,0.197946325
227,/m/02x8m,Funk,0.096758164
228,/m/02w4v,Folk music,0.183918893
229,/m/06j64v,Middle Eastern music,0.185409769
230,/m/03_d0,Jazz,0.210506797
231,/m/026z9,Disco,0.115051344
232,/m/0ggq0m,Classical music,0.255958617
233,/m/05lls,Opera,0.23816818
234,/m/02lkt,Electronic music,0.412831038
235,/m/03mb9,House music,0.111430436
236,/m/07gxw,Techno,0.129632458
237,/m/07s72n,Dubstep,0.134312242
238,/m/0283d,Drum and bass,0.088922143
239,/m/0m0jc,Electronica,0.078854039
240,/m/08cyft,Electronic dance music,0.093672603
241,/m/0fd3y,Ambient music,0.183921918
242,/m/07lnk,Trance music,0.152654558
243,/m/0g293,Music of Latin America,0.358672321
244,/m/0ln16,Salsa music,0.522390962
245,/m/0326g,Flamenco,0.122381479
246,/m/0155w,Blues,0.141842276
247,/m/05fw6t,Music for children,0.312739849
248,/m/02v2lh,New-age music,0.192540139
249,/m/0y4f8,Vocal music,0.168585971
250,/m/0z9c,A capella,0.164358288
251,/m/0164x2,Music of Africa,0.102144323
252,/m/0145m,Afrobeat,0.086320125
253,/m/02mscn,Christian music,0.227192894
254,/m/016cjb,Gospel music,0.184776977
255,/m/028sqc,Music of Asia,0.14503032
256,/m/015vgc,Carnatic music,0.315148413
257,/m/0dq0md,Music of Bollywood,0.369802952
258,/m/06rqw,Ska,0.175568014
259,/m/02p0sh1,Traditional music,0.224747136
260,/m/05rwpb,Independent music,0.077284612
261,/m/074ft,Song,0.052710533
262,/m/025td0t,Background music,0.110848658
263,/m/02cjck,Theme music,0.131275043
264,/m/03r5q_,Jingle (music),0.098749198
265,/m/0l14gg,Soundtrack music,0.108967468
266,/m/07pkxdp,Lullaby,0.168360233
267,/m/01z7dr,Video game music,0.140018523
268,/m/0140xf,Christmas music,0.131075948
269,/m/0ggx5q,Dance music,0.069544785
270,/m/04wptg,Wedding music,0.064275727
271,/t/dd00031,Happy music,0.05340232
272,/t/dd00033,Sad music,0.141525686
273,/t/dd00034,Tender music,0.091772437
274,/t/dd00035,Exciting music,0.060108818
275,/t/dd00036,Angry music,0.289104104
276,/t/dd00037,Scary music,0.172716737
277,/m/03m9d0z,Wind,0.138315216
278,/m/09t49,Rustling leaves,0.055980973
279,/t/dd00092,Wind noise (microphone),0.161091596
280,/m/0jb2l,Thunderstorm,0.457061023
281,/m/0ngt1,Thunder,0.563930094
282,/m/0838f,Water,0.257889897
283,/m/06mb1,Rain,0.320453703
284,/m/07r10fb,Raindrop,0.208118558
285,/t/dd00038,Rain on surface,0.356790185
